Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v29850280 Canada [11124]; Parmesan cheese (Tonnes) 

COL0             COL1  

2003-01           605  
2003-02           607  
2003-03           542  
2003-04           533  
2003-05           320  
2003-06           502  
2003-07           633  
2003-08           595  
2003-09           642  
2003-10           312  
2003-11           310  
2003-12           523  
2004-01           623  
2004-02           376  
2004-03           569  
2004-04           569  
2004-05           526  
2004-06           655  
2004-07           505  
2004-08           301  
2004-09           443  
2004-10           542  
2004-11           491  
2004-12           618  
2005-01           360  
2005-02           509  
2005-03           973  
2005-04           671  
2005-05           333  
2005-06           516  
2005-07           487  
2005-08           404  
2005-09           503  
2005-10           568  
2005-11           466  
2005-12           737  
2006-01           711  
2006-02           668  
2006-03           814  
2006-04           623  
2006-05           479  
2006-06           583  
2006-07           736  
2006-08           463  
2006-09           608  
2006-10           477  
2006-11           409  
2006-12           699  
2007-01           593  
2007-02           606  
2007-03           698  
2007-04           639  
2007-05           615  
2007-06           647  
2007-07           486  
2007-08           488  
2007-09           423  
2007-10           522  
2007-11           401  
2007-12           637  
2008-01           555  
2008-02           761  
2008-03           661  
2008-04           547  
2008-05           461  
2008-06           664  
2008-07           639  
2008-08           337  
2008-09           356  
2008-10           495  
2008-11           609  
2008-12           721  
2009-01           678  
2009-02           648  
2009-03           426  
2009-04           580  
2009-05           778  
2009-06          1050  
2009-07           795  
2009-08           660  
2009-09           422  
2009-10           389  
2009-11           865  
2009-12           585  
2010-01           598  
2010-02           546  
2010-03           688  
2010-04           622  
2010-05           600  
2010-06           585  
2010-07           647  
2010-08           610  
2010-09           422  
2010-10           404  
2010-11           618  
2010-12           329  
2011-01           767  
2011-02           480  
2011-03           648  
2011-04           834  
2011-05           631  
2011-06           856  
2011-07           852  
2011-08           640  
2011-09           792  
2011-10           637  
2011-11           706  
2011-12          1121  
2012-01           994  
2012-02           926  
2012-03          1016  
2012-04          1014  
2012-05           979  
2012-06           978  
2012-07           935  
2012-08           728  
2012-09           521  
2012-10           801  
2012-11           776  
2012-12           884  
2013-01           580  
2013-02           699  
2013-03           760  
2013-04           866  
2013-05           613  
2013-06           781  
2013-07           641  
2013-08           645  
2013-09           547  
2013-10           765  
2013-11           849  
2013-12          1266  
2014-01           834  
2014-02           593  
2014-03           843  
2014-04           841  
2014-05           739  
2014-06           728  
2014-07           821  
2014-08           689  
2014-09          1077  
2014-10           572  
2014-11           509  
2014-12           760  
2015-01           779  
2015-02           788  
2015-03           725  
2015-04           972  
2015-05           764  
2015-06           720  
2015-07           563  
2015-08           665  
2015-09           872  
2015-10          1033  
2015-11           775  
2015-12          1096  
2016-01           905  
2016-02           750  
2016-03           930  
2016-04           799  
2016-05           790  
2016-06           643  
2016-07           787  
2016-08           800  
2016-09           991  
2016-10          1258  
2016-11           922  
2016-12          1201  
2017-01          1291  
2017-02          1104  
2017-03           889  
2017-04          1009  
2017-05          1073  
2017-06           828  
2017-07           841  
2017-08           568  
2017-09           783  
2017-10          1185  
2017-11           744  
2017-12           956  
2018-01           818  
2018-02          1145  
2018-03          1075  
2018-04           894  
2018-05           833  
2018-06           859  
2018-07           793  
2018-08           848  
2018-09           711  
2018-10          1298  
2018-11          1233  
2018-12          1412  
2019-01          1196  
2019-02          1208  
2019-03          1055  
2019-04          1267  
2019-05           957  
2019-06           720  
2019-07          1134  
2019-08          1004  
2019-09           884  
2019-10          1182  
2019-11           716  
2019-12          1241  
2020-01          1460  
2020-02          1372  
2020-03          1142  
2020-04           855  
2020-05           693  
2020-06           728  
2020-07           871  
2020-08           928  
2020-09          1125  
2020-10          1425  
2020-11          1117  
2020-12           986  
2021-01          1517  
2021-02          1139  
2021-03          1579  
2021-04          1138  
2021-05          1621  
2021-06           840  
2021-07          1025  

