	        9949	        8615	        9995	        9093	
	        8977	        8865	        8941	        8048	
	        9117	       10327	        9778	        9364	
	        9021	        8217	        8754	        9583	
	        9280	        9447	        9796	        9269	
	        9350	       10129	       10314	        9946	
	       10692	        8998	        9019	        9688	
	        9444	        9242	        9543	        9533	
	        8946	        9812	        9847	        9435	
	        9919	        8645	        9304	        8534	
	        9258	        9032	        9015	        8750	
	        9058	        9542	        8910	        8894	
	        9862	        9361	        9725	       10045	
	        9986	        8745	        9797	        9800	
	       10316	       11149	        9835	        9766	
	       10228	        9152	        9438	        9941	
	       10262	        9501	        9959	        9160	
	        9727	       10209	        9008	        9211	
	       10309	        8413	        9731	        9436	
	        8951	        9483	       10359	        9284	
	        9530	        9910	        9363	        9761	
	        9829	        8326	       10033	        9754	
	        8653	        9677	        9442	        8367	
	        9392	        9977	        9022	        9740	
	        8655	        7917	        9541	        8553	
	        8763	        8134	        8726	        7913	
	        8678	        8779	        9423	        8640	
	       10049	        8952	        8363	        9021	
	        9847	        8723	        9534	        9016	
	        8755	       11286	        9564	        9358	
	        9845	        8957	        9393	        9968	
	        9467	        9487	        9650	        9499	
	        9834	       10573	        9599	        9367	
	       10072	        9467	        9839	       10993	
	       10011	        8599	       10678	        9610	
	        9719	       11535	       10171	        9463	
	       10569	       10034	       10017	       10334	
	        9556	       10165	       11307	       10422	
	       11969	       12111	       11860	       11319	
	       12238	       10114	       12675	       11307	
	       12071	       10763	       11696	       11425	
	       11812	       14649	       13504	       11678	
	       12835	       11609	       11571	       11693	
	       12045	       12438	       12497	       12823	
	       12055	       12904	       12022	       12645	
	       13165	       10930	       12039	       12680	
	       11871	       10686	       12567	       11612	
	       11350	       14749	       13521	       12562	
	       12492	       11335	       12789	       13325	
	       12450	       11302	       12238	       11954	
	       13221	       14561	       13458	       12297	
	       13709	       11362	       12144	       12741	
	       12840	       12974	       12472	       12510	
	       13639	       15176	       12862	       12553	
	       13114	       11653	       12711	       14191	
	       12566	       12252	       12212	         
