CANSIM SERIES V382649
TABLE NUMBER: 32100112
TABLE TITLE: PRODUCTION OF SELECTED DAIRY PRODUCTS
Data Sources: IMDB (Integrated Meta Data Base) Numbers:
3430 - MONTHLY DAIRY FACTORY PRODUCTION AND STOCKS SURVEY
SERIES TITLE: CANADA [11124]; CHEDDAR CHEESE (Tonnes)
SERIES FREQUENCY: Monthly
SCALING FACTOR: units
DECIMALS: 0

Year       Jan/May/Sep     Feb/Jun/Oct     Mar/Jul/Nov     Apr/Aug/Dec

1946	         770	         625	        1274	        3427	
	        7807	       12775	       11610	        9813	
	        8056	        6152	        2775	        1180	
1947	         792	         641	        1172	        2826	
	        6231	       10430	       10150	        8670	
	        7100	        4868	        1815	         614	
1948	         429	         420	         764	        1635	
	        4505	        8478	        7857	        6517	
	        4994	        3030	        1204	         542	
1949	         327	         248	         631	        2430	
	        6699	        9646	        8660	        7537	
	        7044	        5710	        2879	        1215	
1950	         795	         580	         988	        2219	
	        5033	        8433	        7360	        6413	
	        5474	        3640	        1939	        1415	
1951	         958	         603	         830	        1817	
	        4236	        6687	        6326	        6274	
	        5519	        4289	        1792	         935	
1952	         533	         492	         834	        1888	
	        3515	        5028	        4416	        4362	
	        4055	        3176	        1555	         901	
1953	         846	         774	        1317	        2527	
	        4207	        5668	        4942	        4536	
	        3817	        3249	        1753	        1170	
1954	         904	         850	        1426	        2302	
	        4276	        6277	        5840	        5412	
	        4693	        3529	        1986	        1211	
1955	         894	         771	        1246	        2207	
	        4344	        5936	        4729	        4688	
	        4765	        3588	        1944	        1162	
1956	         907	         796	        1412	        2255	
	        3442	        5739	        5737	        5439	
	        4810	        3973	        2387	        1539	
1957	        1098	         890	        1284	        2684	
	        5197	        7337	        6903	        6227	
	        5194	        4119	        2433	        1549	
1958	        1115	         830	        1582	        2697	
	        4467	        6616	        6026	        5263	
	        4874	        4023	        2322	        1599	
1959	        1165	         965	        1578	        2850	
	        4912	        7045	        6440	        6108	
	        6309	        5431	        3422	        2601	
1960	        1732	        1387	        2196	        3525	
	        5675	        7551	        6905	        6234	
	        5421	        4524	        2935	        1974	
1961	        1442	        1314	        2396	        3987	
	        5810	        7766	        7271	        6802	
	        5791	        5153	        3707	        2493	
1962	        1976	        1569	        2398	        3547	
	        5315	        7456	        6732	        6643	
	        6018	        4985	        3689	        2863	
1963	        2036	        1620	        2498	        4198	
	        6484	        8563	        8134	        8056	
	        7652	        6656	        4236	        3076	
1964	        2252	        1863	        3014	        4720	
	        7183	        9131	        8287	        8074	
	        7276	        6292	        4136	        3374	
1965	        2478	        2296	        4038	        5620	
	        7222	        9263	        8918	        8332	
	        7845	        6905	        4786	        3997	
1966	        3101	        2347	        3916	        5970	
	        8160	       10436	        9245	        8777	
	        8129	        7118	        4957	        4108	
1967	        3070	        2148	        3662	        5793	
	        8081	       10346	        9228	        8219	
	        7247	        6716	        5007	        3542	
1968	        2809	        2285	        3415	        5965	
	        8313	       10440	        9462	        8785	
	        7888	        7342	        4870	        3897	
1969	        3226	        2637	        3842	        5767	
	        7818	       10491	        9832	        8723	
	        7622	        6739	        4778	        4580	
1970	        3854	        3709	        4593	        5705	
	        7382	        9626	        8873	        7894	
	        6942	        6206	        5432	        4942	
1971	        4294	        4038	        5314	        6275	
	        7395	        9595	        8814	        8627	
	        8730	        8649	        7759	        7033	
1972	        6204	        5307	        6018	        6404	
	        8482	       10122	        9019	        8527	
	        8505	        7650	        5481	        5413	
1973	        5109	        5404	        6242	        6562	
	        8303	        9432	        7708	        8107	
	        7941	        8116	        6651	        6107	
1974	        6181	        5015	        6373	        7186	
	        7960	        9164	        9573	        8048	
	        7884	        7721	        6357	        6693	
1975	        5648	        4435	        5761	        6170	
	        7251	        9124	        7904	        6602	
	        6942	        6602	        6358	        6975	
1976	        6216	        5164	        6059	        6328	
	        6893	        7986	        6937	        6910	
	        6796	        6752	        6020	        5939	
1977	        5556	        5580	        6807	        6389	
	        6600	        7705	        7305	        7762	
	        7564	        6778	        6294	        6016	
1978	        5436	        5280	        6444	        7011	
	        7891	        8415	        7500	        7073	
	        7939	        7746	        6515	        7091	
1979	        7000	        6704	        8322	        8718	
	        9083	        8971	        8583	        8471	
	        8278	        8093	        7591	        7291	
1980	        7921	        7354	        7558	        8342	
	        9950	       10260	       10365	        9593	
	       10140	        7472	        8627	        9085	
1981	        8049	        8159	        8689	        8501	
	       10941	        9589	        8499	        8154	
	        8014	        7758	        7397	        7068	
1982	        7081	        6032	        7887	        7053	
	        6867	        8501	        8177	        8756	
	        8334	        6687	        6566	        7092	
