Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
2014-12          829.40  
2015-01          807.28  
2015-02          796.28  
2015-03          778.94  
2015-04          774.10  
2015-05          766.40  
2015-06          776.61  
2015-07          781.36  
2015-08          778.48  
2015-09          799.35  
2015-10          768.26  
2015-11          805.33  
2015-12          793.80  
2016-01          784.98  
2016-02          780.32  
2016-03          806.60  
2016-04          796.76  
2016-05          810.63  
2016-06          773.14  
2016-07          784.44  
2016-08          780.28  
2016-09          799.10  
2016-10          832.95  
2016-11          827.14  
2016-12          825.54  
2017-01          825.20  
2017-02          875.72  
2017-03          782.19  
2017-04          785.32  
2017-05          777.91  
2017-06          764.94  
2017-07          767.84  
2017-08          770.01  
2017-09          779.12  
2017-10          798.39  
2017-11          800.31  
2017-12          798.96  
2018-01          786.44  
2018-02          778.10  
2018-03          784.19  
2018-04          773.70  
2018-05          754.48  
2018-06          766.44  
2018-07          761.05  
2018-08          759.96  
2018-09          796.59  
2018-10          826.75  
2018-11          812.52  
2018-12          809.88  
2019-01          822.65  
2019-02          825.22  
2019-03          809.70  
2019-04          802.29  
2019-05          800.98  
2019-06          797.00  
2019-07          819.73  
2019-08          798.37  
2019-09          805.73  
2019-10          837.60  
2019-11          835.08  
2019-12          821.80  
2020-01          836.14  
2020-02          860.27  
2020-03          846.28  
2020-04          821.53  
2020-05          800.23  
2020-06          799.94  
2020-07          798.43  
2020-08          789.90  
2020-09          817.94  
2020-10          824.90  
2020-11          844.61  
2020-12          853.33  
2021-01          840.49  
2021-02          862.68  
2021-03          859.55  
2021-04          852.54  
2021-05          841.82  
2021-06          837.70  
2021-07          821.98  
2021-08          834.21  
