Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v31212300 British Columbia [59]; Unprocessed milk from bovine (Dollars per kilolitre) [11612111] 

COL0               COL1  

1996-08          550.45  
1996-09          564.21  
1996-10          558.20  
1996-11          556.00  
1996-12          568.10  
1997-01          554.02  
1997-02          547.72  
1997-03          541.77  
1997-04          561.37  
1997-05          540.58  
1997-06          524.02  
1997-07          515.05  
1997-08          561.82  
1997-09          560.62  
1997-10          658.73  
1997-11          563.31  
1997-12          567.88  
1998-01          571.45  
1998-02          562.49  
1998-03          564.31  
1998-04          562.25  
1998-05          567.07  
1998-06          535.43  
1998-07          547.12  
1998-08          551.76  
1998-09          561.28  
1998-10          575.98  
1998-11          576.24  
1998-12          575.70  
1999-01          573.65  
1999-02          577.38  
1999-03          576.27  
1999-04          571.85  
1999-05          565.61  
1999-06          562.59  
1999-07          564.23  
1999-08          564.80  
1999-09          575.74  
1999-10          570.43  
1999-11          574.99  
1999-12          568.98  
2000-01          574.52  
2000-02          581.32  
2000-03          577.42  
2000-04          570.90  
2000-05          571.55  
2000-06          570.67  
2000-07          565.21  
2000-08          569.36  
2000-09          580.09  
2000-10          579.81  
2000-11          586.81  
2000-12          584.11  
2001-01          580.90  
2001-02          595.63  
2001-03          590.56  
2001-04          585.69  
2001-05          583.13  
2001-06          582.42  
2001-07          577.56  
2001-08          583.85  
2001-09          596.95  
2001-10          605.26  
2001-11          611.81  
2001-12          602.49  
2002-01          612.87  
2002-02          626.47  
2002-03          625.65  
2002-04          562.42  
2002-05          619.03  
2002-06          607.14  
2002-07          595.43  
2002-08          615.32  
2002-09          612.83  
2002-10          628.53  
2002-11          633.29  
2002-12          632.77  
2003-01          635.65  
2003-02          642.22  
2003-03          649.81  
2003-04          638.03  
2003-05          635.29  
2003-06          633.77  
2003-07          632.56  
2003-08          624.42  
2003-09          630.37  
2003-10          641.44  
2003-11          643.38  
2003-12          624.24  
2004-01          606.34  
2004-02          605.06  
2004-03          597.95  
2004-04          594.51  
2004-05          597.86  
2004-06          603.04  
2004-07          610.76  
2004-08          606.04  
2004-09          600.56  
2004-10          606.95  
2004-11          616.37  
2004-12          612.06  
2005-01          630.08  
2005-02          651.10  
2005-03          640.56  
2005-04          641.68  
2005-05          628.13  
2005-06          617.80  
2005-07          612.87  
2005-08          631.07  
2005-09          641.58  
2005-10          655.06  
2005-11          657.55  
2005-12          661.45  
2006-01          642.75  
2006-02          657.26  
2006-03          659.39  
2006-04          656.84  
2006-05          637.27  
2006-06          633.89  
2006-07          632.24  
2006-08          638.86  
2006-09          639.17  
2006-10          641.20  
2006-11          656.13  
2006-12          661.64  
2007-01          657.82  
2007-02          670.43  
2007-03          669.30  
2007-04          671.45  
2007-05          679.68  
2007-06          679.59  
2007-07          681.97  
2007-08          682.68  
2007-09          701.53  
2007-10          713.59  
2007-11          718.73  
2007-12          720.08  
2008-01          718.81  
2008-02          720.43  
2008-03          714.63  
2008-04          711.78  
2008-05          723.35  
2008-06          716.63  
2008-07          714.49  
2008-08          720.83  
2008-09          738.34  
2008-10          760.13  
2008-11          765.52  
2008-12          767.70  
2009-01          768.95  
2009-02          753.59  
2009-03          758.21  
2009-04          752.17  
2009-05          743.97  
2009-06          739.32  
2009-07          735.58  
2009-08          732.81  
2009-09          742.44  
2009-10          753.94  
2009-11          757.99  
2009-12          758.55  
2010-01          753.97  
2010-02          757.26  
2010-03          750.39  
2010-04          749.76  
2010-05          745.40  
2010-06          748.00  
2010-07          738.92  
2010-08          728.68  
2010-09          753.24  
2010-10          757.75  
2010-11          778.06  
2010-12          767.26  
2011-01          760.73  
2011-02          763.30  
2011-03          774.32  
2011-04          777.01  
2011-05          761.48  
2011-06          765.54  
2011-07          762.38  
2011-08          767.69  
2011-09          784.39  
2011-10          787.30  
2011-11          798.08  
2011-12          802.07  
2012-01          787.34  
2012-02          784.13  
2012-03          787.69  
2012-04          770.98  
2012-05          772.28  
2012-06          765.57  
2012-07          743.53  
2012-08          750.88  
2012-09          762.18  
2012-10          766.97  
2012-11          780.96  
2012-12          792.11  
2013-01          778.51  
2013-02          772.80  
2013-03          824.55  
2013-04          780.59  
2013-05          764.20  
2013-06          797.97  
2013-07          760.46  
2013-08          773.41  
2013-09          789.04  
2013-10          794.49  
2013-11          804.49  
2013-12          821.01  
2014-01          802.97  
2014-02          818.72  
2014-03          826.14  
2014-04          814.43  
2014-05          806.93  
2014-06          774.41  
2014-07          790.23  
2014-08          773.39  
2014-09          794.89  
2014-10          826.99  
2014-11          812.75  
