	       12759	       10692	       10285	       10253	
	       11981	       11841	       11610	       10931	
	       10573	       10596	        9861	       10955	
	       10918	        9406	        9931	       10287	
	        9555	       10390	       11626	       11513	
	       10546	       11019	        9950	       11272	
	       12318	        9738	        9403	       10040	
	       10389	       11203	       13193	       11004	
	       11315	       12435	        9529	       11241	
	       11978	       10739	       11240	       12000	
               11293	       11237	       12446	       11987	
	       10986	       11614	       11630	       12175	
	       11497	        9017	        9789	       12342	
	       10798	       11042	       12142	       10378	
	       10058	       11598	       10575	       10917	
	       10636	        9612	        9394	       10583	
	       10533	       11659	       12106	       10373	
	       10280	       11336	       10157	       12126	
	       12225	       10134	        9801	       12093	
	       11856	       11584	       13512	       10997	
	       10546	       10297	       10804	       12231	
	       12024	       11290	       11040	       13590	
	       11112	       11087	       12224	       10845	
	       10602	       11529	       10498	       11463	
	       12394	       11270	       11165	       12858	
	       10805	       11220	       11581	       10262	
	       10374	       11586	       10456	       11243	
	       12644	       11332	        9909	       10956	
	       10602	       11123	       13387	       10531	
	       11423	       13510	       10879	       11814	
	       13035	       11529	       11630	       12399	
	       11336	       11243	       13353	       10058	
	       11401	       11762	       10284	       10606	
	       13090	       10681	       11056	       11865	
	       11898	       13371	       13543	       11414	
	       10866	       12742	       10847	       11697	
	       13234	       10845	       13017	       14284	
	       12716	       11986	       13719	       11125	
	       10855	       13172	       11223	       10634	
	       11626	       11663	       13959	       13733	
	       12662	       13347	       14806	       12752	
	       11705	       14259	       11976	       12651	
	       14260	       11357	       12449	       15420	
	       13634	       12628	       14363	       14048	
	       12479	       15309	       13089	       13319	
	       14050	       12340	       14204	       15674	
	       13814	       14075	       16293	       14057	
	       14606	       16641	       12940	       14784	
	       15732	       12831	       14211	       15205	
	       12200	       13032	       14510	       13785	
	       12407	       13808	       12474	       13388	
	       14738	       12833	       12598	       14835	
	       11960	       13563	       15472	       13563	
	       12522	       14517	       14743	       15974	
	       16225	       13500	       14152	       15094	
	       13207	       14225	       14919	         

