Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v382880 Canada [11124]; Mozzarella cheese (Tonnes) 

COL0              COL1  

1987-01           4010  
1987-02           3183  
1987-03           3789  
1987-04           4427  
1987-05           5183  
1987-06           4075  
1987-07           4002  
1987-08           3807  
1987-09           3975  
1987-10           4302  
1987-11           4053  
1987-12           4797  
1988-01           3918  
1988-02           3994  
1988-03           4673  
1988-04           4453  
1988-05           4696  
1988-06           5094  
1988-07           4898  
1988-08           4407  
1988-09           5715  
1988-10           5036  
1988-11           5049  
1988-12           5108  
1989-01           4415  
1989-02           3980  
1989-03           5093  
1989-04           4479  
1989-05           5858  
1989-06           5599  
1989-07           4892  
1989-08           6078  
1989-09           4691  
1989-10           5525  
1989-11           5328  
1989-12           5779  
1990-01           5288  
1990-02           4886  
1990-03           5471  
1990-04           5053  
1990-05           5129  
1990-06           5512  
1990-07           4985  
1990-08           5557  
1990-09           4816  
1990-10           5074  
1990-11           5041  
1990-12           4880  
1991-01           5076  
1991-02           4163  
1991-03           5052  
1991-04           7029  
1991-05           4590  
1991-06           6739  
1991-07           5853  
1991-08           6062  
1991-09           6313  
1991-10           6654  
1991-11           6448  
1991-12           6141  
1992-01           6864  
1992-02           6639  
1992-03           7647  
1992-04           7015  
1992-05           6589  
1992-06           7059  
1992-07           7143  
1992-08           6665  
1992-09           6801  
1992-10           7333  
1992-11           6814  
1992-12           7281  
1993-01           5997  
1993-02           4515  
1993-03           5471  
1993-04           5785  
1993-05           4722  
1993-06           4987  
1993-07           5529  
1993-08           4705  
1993-09           4842  
1993-10           5017  
1993-11           5311  
1993-12           4835  
1994-01           4561  
1994-02           4920  
1994-03           5208  
1994-04           4906  
1994-05           5238  
1994-06           5459  
1994-07           4809  
1994-08           4804  
1994-09           6646  
1994-10           7258  
1994-11           6481  
1994-12           5671  
1995-01           5423  
1995-02           5103  
1995-03           5592  
1995-04           5887  
1995-05           5993  
1995-06           6685  
1995-07           5936  
1995-08           5219  
1995-09           5438  
1995-10           6138  
1995-11           5703  
1995-12           6496  
1996-01           5078  
1996-02           4811  
1996-03           5299  
1996-04           5488  
1996-05           5480  
1996-06           5315  
1996-07           6129  
1996-08           5478  
1996-09           5286  
1996-10           5647  
1996-11           5917  
1996-12           5649  
1997-01           7214  
1997-02           6202  
1997-03           6799  
1997-04           6708  
1997-05           6280  
1997-06           6291  
1997-07           6202  
1997-08           7231  
1997-09           6197  
1997-10           9518  
1997-11           8077  
1997-12           8027  
1998-01           7585  
1998-02           7571  
1998-03           7495  
1998-04           8163  
1998-05           8623  
1998-06           8155  
1998-07           8669  
1998-08           7699  
1998-09           8534  
1998-10           8884  
1998-11           8820  
1998-12           9467  
1999-01           9771  
1999-02           7505  
1999-03          10164  
1999-04           9834  
1999-05           8778  
1999-06           8675  
1999-07           9377  
1999-08           9554  
1999-09           9387  
1999-10           9031  
1999-11           9264  
1999-12           8989  
2000-01           9649  
2000-02           9531  
2000-03           9220  
2000-04           8737  
2000-05           9077  
2000-06           8706  
2000-07           9111  
2000-08           9138  
2000-09           9397  
2000-10          10166  
2000-11          10310  
2000-12          10059  
2001-01           9726  
2001-02           8629  
2001-03           8528  
2001-04           8934  
2001-05           9799  
2001-06           8418  
2001-07           9622  
2001-08           8481  
2001-09           8753  
2001-10           7677  
2001-11          10252  
2001-12          10359  
2002-01           8948  
2002-02           7908  
2002-03           8372  
2002-04           9633  
2002-05           8823  
2002-06           8898  
2002-07           9826  
2002-08           8581  
2002-09           8874  
2002-10          10487  
2002-11           9741  
2002-12          10601  
2003-01           9949  
2003-02           8615  
2003-03           9995  
2003-04           9093  
2003-05           8977  
2003-06           8865  
2003-07           8941  
2003-08           8048  
2003-09           9117  
2003-10          10327  
2003-11           9778  
2003-12           9364  
