Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v31212138 Quebec [24]; Unprocessed milk from bovine (Dollars per kilolitre) [11612111] 

COL0               COL1  

1996-08          499.63  
1996-09          503.35  
1996-10          524.26  
1996-11          511.84  
1996-12          502.50  
1997-01          504.26  
1997-02          488.00  
1997-03          498.85  
1997-04          474.99  
1997-05          464.52  
1997-06          468.51  
1997-07          454.34  
1997-08          484.76  
1997-09          507.81  
1997-10          518.36  
1997-11          501.44  
1997-12          486.05  
1998-01          504.12  
1998-02          482.78  
1998-03          496.05  
1998-04          486.74  
1998-05          478.60  
1998-06          471.21  
1998-07          450.49  
1998-08          533.09  
1998-09          535.86  
1998-10          530.96  
1998-11          538.54  
1998-12          524.10  
1999-01          514.37  
1999-02          529.38  
1999-03          517.55  
1999-04          509.89  
1999-05          488.85  
1999-06          476.99  
1999-07          488.10  
1999-08          519.65  
1999-09          505.14  
1999-10          543.87  
1999-11          539.61  
1999-12          533.82  
2000-01          508.55  
2000-02          544.11  
2000-03          544.48  
2000-04          536.30  
2000-05          519.44  
2000-06          545.14  
2000-07          503.31  
2000-08          543.82  
2000-09          562.19  
2000-10          559.65  
2000-11          573.88  
2000-12          556.18  
2001-01          502.49  
2001-02          552.09  
2001-03          532.72  
2001-04          536.92  
2001-05          530.28  
2001-06          528.62  
2001-07          524.51  
2001-08          567.91  
2001-09          579.37  
2001-10          568.01  
2001-11          577.19  
2001-12          556.26  
2002-01          557.16  
2002-02          561.39  
2002-03          532.11  
2002-04          538.30  
2002-05          554.51  
2002-06          596.51  
2002-07          569.48  
2002-08          574.80  
2002-09          568.83  
2002-10          584.16  
2002-11          578.50  
2002-12          583.36  
2003-01          561.22  
2003-02          603.92  
2003-03          597.84  
2003-04          601.85  
2003-05          593.70  
2003-06          599.32  
2003-07          560.15  
2003-08          573.51  
2003-09          615.23  
2003-10          596.01  
2003-11          592.58  
2003-12          602.61  
2004-01          576.77  
2004-02          583.65  
2004-03          578.76  
2004-04          596.22  
2004-05          585.46  
2004-06          630.90  
2004-07          574.27  
2004-08          621.12  
2004-09          615.53  
2004-10          629.42  
2004-11          637.68  
2004-12          622.66  
2005-01          611.82  
2005-02          668.58  
2005-03          653.93  
2005-04          622.28  
2005-05          625.95  
2005-06          651.17  
2005-07          632.84  
2005-08          647.30  
2005-09          658.16  
2005-10          658.15  
2005-11          692.63  
2005-12          652.38  
2006-01          644.08  
2006-02          673.15  
2006-03          674.17  
2006-04          644.43  
2006-05          653.11  
2006-06          649.60  
2006-07          609.53  
2006-08          649.07  
2006-09          667.21  
2006-10          676.08  
2006-11          677.59  
2006-12          678.47  
2007-01          664.94  
2007-02          686.01  
2007-03          684.80  
2007-04          693.83  
2007-05          675.29  
2007-06          678.57  
2007-07          658.64  
2007-08          689.29  
2007-09          716.38  
2007-10          713.11  
2007-11          721.57  
2007-12          702.32  
2008-01          672.17  
2008-02          698.45  
2008-03          671.22  
2008-04          710.11  
2008-05          690.07  
2008-06          703.37  
2008-07          668.03  
2008-08          707.37  
2008-09          729.47  
2008-10          715.00  
2008-11          725.06  
2008-12          706.54  
2009-01          719.76  
2009-02          704.34  
2009-03          714.27  
2009-04          710.74  
2009-05          705.57  
2009-06          719.36  
2009-07          693.70  
2009-08          702.08  
2009-09          697.96  
2009-10          694.17  
2009-11          707.63  
2009-12          738.43  
2010-01          705.00  
2010-02          733.77  
2010-03          690.10  
2010-04          729.69  
2010-05          713.59  
2010-06          699.14  
2010-07          714.53  
2010-08          686.84  
2010-09          709.90  
2010-10          749.18  
2010-11          724.63  
2010-12          743.97  
2011-01          711.11  
2011-02          760.42  
2011-03          756.63  
2011-04          733.01  
2011-05          737.83  
2011-06          737.16  
2011-07          699.78  
2011-08          720.90  
2011-09          760.89  
2011-10          760.13  
2011-11          783.67  
2011-12          759.69  
2012-01          755.41  
2012-02          769.43  
2012-03          731.03  
2012-04          679.07  
2012-05          743.77  
2012-06          722.23  
2012-07          713.04  
2012-08          715.61  
2012-09          741.43  
2012-10          728.52  
2012-11          757.08  
2012-12          769.49  
2013-01          721.22  
2013-02          773.28  
2013-03          734.06  
2013-04          710.19  
2013-05          739.04  
2013-06          748.88  
2013-07          747.08  
2013-08          748.09  
2013-09          723.30  
2013-10          767.99  
2013-11          783.12  
2013-12          771.72  
2014-01          755.47  
2014-02          772.19  
2014-03          794.63  
2014-04          791.56  
2014-05          780.00  
2014-06          787.00  
2014-07          763.02  
2014-08          761.70  
2014-09          729.60  
2014-10          781.19  
2014-11          799.72  
2014-12          780.75  
2015-01          740.30  
2015-02          750.74  
2015-03          771.52  
2015-04          725.32  
2015-05          717.06  
2015-06          714.56  
2015-07          677.74  
2015-08          698.83  
2015-09          722.67  
2015-10          754.46  
2015-11          768.71  
2015-12          734.67  
2016-01          700.03  
2016-02          707.57  
2016-03          727.39  
2016-04          724.15  
2016-05          731.70  
2016-06          727.36  
2016-07          679.05  
2016-08          733.18  
2016-09          731.32  
2016-10          750.23  
2016-11          764.15  
2016-12          748.66  
2017-01          711.88  
2017-02          729.33  
2017-03          726.51  
2017-04          692.86  
2017-05          725.73  
2017-06          729.54  
2017-07          711.10  
2017-08          739.08  
2017-09          722.13  
2017-10          736.70  
2017-11          738.02  
2017-12          724.40  
2018-01          710.15  
2018-02          710.88  
2018-03          693.16  
2018-04          664.43  
2018-05          691.51  
2018-06          676.77  
2018-07          682.32  
2018-08          701.91  
2018-09          747.15  
2018-10          756.01  
2018-11          783.12  
2018-12          755.61  
2019-01          742.20  
2019-02          750.28  
2019-03          749.18  
2019-04          737.10  
2019-05          740.89  
2019-06          732.26  
2019-07          729.52  
2019-08          743.77  
2019-09          763.17  
2019-10          774.14  
2019-11          777.61  
2019-12          773.23  
2020-01          769.25  
2020-02          777.97  
2020-03          775.65  
2020-04          714.91  
2020-05          774.84  
2020-06          706.78  
2020-07          724.21  
2020-08          742.34  
2020-09          773.03  
2020-10          760.23  
2020-11          777.28  
2020-12          782.79  
2021-01          775.45  
2021-02          777.53  
2021-03          778.11  
2021-04          777.04  
2021-05          777.56  
2021-06          777.57  
2021-07          777.39  
2021-08          777.51  

