Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v382651 Quebec [24]; Cheddar cheese (Tonnes) 

COL0             COL1  

1977-01          2569  
1977-02          2710  
1977-03          3078  
1977-04          2603  
1977-05          2524  
1977-06          2889  
1977-07          3081  
1977-08          3379  
1977-09          3241  
1977-10          3265  
1977-11          3199  
1977-12          2914  
1978-01          2388  
1978-02          2509  
1978-03          2962  
1978-04          3207  
1978-05          3317  
1978-06          3423  
1978-07          2979  
1978-08          2543  
1978-09          3499  
1978-10          3843  
1978-11          3179  
1978-12          3743  
1979-01          3716  
1979-02          3363  
1979-03          4139  
1979-04          4403  
1979-05          4406  
1979-06          4107  
1979-07          4120  
1979-08          3963  
1979-09          3798  
1979-10          4094  
1979-11          4262  
1979-12          3689  
1980-01          4066  
1980-02          3672  
1980-03          3625  
1980-04          3853  
1980-05          4756  
1980-06          4978  
1980-07          5317  
1980-08          4804  
1980-09          5465  
1980-10          3414  
1980-11          5315  
1980-12          4970  
1981-01          3758  
1981-02          4050  
1981-03          4033  
1981-04          3709  
1981-05          5710  
1981-06          4165  
1981-07          3466  
1981-08          3625  
1981-09          3649  
1981-10          3607  
1981-11          3761  
1981-12          3413  
1982-01          3448  
1982-02          2626  
1982-03          3691  
1982-04          2644  
1982-05          1768  
1982-06          3376  
1982-07          3306  
1982-08          3745  
1982-09          3694  
1982-10          2409  
1982-11          2426  
1982-12          3095  
1983-01          3060  
1983-02          3152  
1983-03          3535  
1983-04          3184  
1983-05          3509  
1983-06          3621  
1983-07          4116  
1983-08          4256  
1983-09          3871  
1983-10          3445  
1983-11          3514  
1983-12          3139  
1984-01          3515  
1984-02          3510  
1984-03          3524  
1984-04          3571  
1984-05          3443  
1984-06          3319  
1984-07          3629  
1984-08          3610  
1984-09          3409  
1984-10          3650  
1984-11          3963  
1984-12          3554  
1985-01          3470  
1985-02          3020  
1985-03          3976  
1985-04          4205  
1985-05          4361  
1985-06          3899  
1985-07          5021  
1985-08          5309  
1985-09          4557  
1985-10          5035  
1985-11          4880  
1985-12          5563  
1986-01          4770  
1986-02          3458  
1986-03          4327  
1986-04          3737  
1986-05          4394  
1986-06          4918  
1986-07          4948  
1986-08          4817  
1986-09          3999  
1986-10          4282  
1986-11          4107  
1986-12          4293  
1987-01          4046  
1987-02          4594  
1987-03          4717  
1987-04          4874  
1987-05          5205  
1987-06          5721  
1987-07          4948  
1987-08          4569  
1987-09          5014  
1987-10          4510  
1987-11          3976  
1987-12          4049  
1988-01          4200  
1988-02          4046  
1988-03          3800  
1988-04          4226  
1988-05          4481  
1988-06          4603  
1988-07          4798  
1988-08          5186  
1988-09          4639  
1988-10          5325  
1988-11          3780  
1988-12          4505  
1989-01          4638  
1989-02          3862  
1989-03          3309  
1989-04          4878  
1989-05          4868  
1989-06          4740  
1989-07          4123  
1989-08          4365  
1989-09          4274  
1989-10          4202  
1989-11          4315  
1989-12          3481  
1990-01          4344  
1990-02          3745  
1990-03          3742  
1990-04          3866  
1990-05          4243  
1990-06          4194  
1990-07          4311  
1990-08          3873  
1990-09          4148  
1990-10          4435  
1990-11          4914  
1990-12          3355  
1991-01          4049  
1991-02          3389  
1991-03          4177  
1991-04          5068  
1991-05          4491  
1991-06          4621  
1991-07          5003  
1991-08          4431  
1991-09          5001  
1991-10          5204  
1991-11          4397  
1991-12          4202  
1992-01          4016  
1992-02          4061  
1992-03          4561  
1992-04          5132  
1992-05          4462  
1992-06          5295  
1992-07          5495  
1992-08          4509  
1992-09          4955  
1992-10          4783  
1992-11          3561  
1992-12          4412  
1993-01          4728  
1993-02          4125  
1993-03          4158  
1993-04          5652  
1993-05          4885  
1993-06          4644  
1993-07          4862  
1993-08          4798  
1993-09          5337  
1993-10          5761  
1993-11          4879  
1993-12          5638  
1994-01          6292  
1994-02          4574  
1994-03          4424  
1994-04          6628  
1994-05          5667  
1994-06          5459  
1994-07          5684  
1994-08          4465  
1994-09          5088  
1994-10          5788  
1994-11          4745  
1994-12          4910  
1995-01          5160  
1995-02          4454  
1995-03          4715  
1995-04          5435  
1995-05          5223  
1995-06          5438  
1995-07          6003  
1995-08          5039  
1995-09          4580  
1995-10          5975  
1995-11          5491  
1995-12          5397  
1996-01          5474  
1996-02          5437  
1996-03          4762  
1996-04          5530  
1996-05          4743  
1996-06          5083  
1996-07          5493  
1996-08          4012  
1996-09          4593  
1996-10          4754  
1996-11          4834  
1996-12          5171  
1997-01          5614  
1997-02          4717  
1997-03          3824  
1997-04          5182  
1997-05          4395  
1997-06          4931  
1997-07          6932  
1997-08          4948  
1997-09          5193  
1997-10          6065  
1997-11          3239  
1997-12          5381  
1998-01          4886  
1998-02          4934  
1998-03          4538  
1998-04          6017  
1998-05          5511  
1998-06          5615  
1998-07          6033  
1998-08          4535  
1998-09          5325  
1998-10          5828  
1998-11          5289  
1998-12          5378  
1999-01          5883  
1999-02          4651  
1999-03          4939  
1999-04          4917  
1999-05          5137  
1999-06          5114  
1999-07          5644  
1999-08          5261  
1999-09          4905  
1999-10          5889  
1999-11          5434  
1999-12          5764  
2000-01          6645  
2000-02          5463  
2000-03          7645  
2000-04          7077  
2000-05          4907  
2000-06          5293  
2000-07          5462  
2000-08          5401  
2000-09          5239  
2000-10          5743  
