Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v382652 Ontario [35]; Cheddar cheese (Tonnes) 

COL0             COL1  

1977-01          1983  
1977-02          1925  
1977-03          2514  
1977-04          2536  
1977-05          2641  
1977-06          3245  
1977-07          2797  
1977-08          2946  
1977-09          2990  
1977-10          2439  
1977-11          2052  
1977-12          1975  
1978-01          2018  
1978-02          1643  
1978-03          2161  
1978-04          2550  
1978-05          2938  
1978-06          3270  
1978-07          2974  
1978-08          3055  
1978-09          3047  
1978-10          2694  
1978-11          2272  
1978-12          2201  
1979-01          2071  
1979-02          2056  
1979-03          2678  
1979-04          2741  
1979-05          2959  
1979-06          2926  
1979-07          2677  
1979-08          2798  
1979-09          2817  
1979-10          2560  
1979-11          2026  
1979-12          2291  
1980-01          2475  
1980-02          2237  
1980-03          2505  
1980-04          2849  
1980-05          3394  
1980-06          3361  
1980-07          3114  
1980-08          3010  
1980-09          2926  
1980-10          2435  
1980-11          2033  
1980-12          2539  
1981-01          2711  
1981-02          2548  
1981-03          2752  
1981-04          2945  
1981-05          3275  
1981-06          3363  
1981-07          3200  
1981-08          3049  
1981-09          2909  
1981-10          2829  
1981-11          2435  
1981-12          2347  
1982-01          2350  
1982-02          2152  
1982-03          2708  
1982-04          2987  
1982-05          3435  
1982-06          3300  
1982-07          3095  
1982-08          3413  
1982-09          3041  
1982-10          2812  
1982-11          2766  
1982-12          2547  
1983-01          2601  
1983-02          2344  
1983-03          2774  
1983-04          2845  
1983-05          3307  
1983-06          3895  
1983-07          3250  
1983-08          3215  
1983-09          3098  
1983-10          2482  
1983-11          1850  
1983-12          2293  
1984-01          2669  
1984-02          2732  
1984-03          2896  
1984-04          3081  
1984-05          3225  
1984-06          3577  
1984-07          3107  
1984-08          3204  
1984-09          3096  
1984-10          2560  
1984-11          2316  
1984-12          1987  
1985-01          2304  
1985-02          2305  
1985-03          2167  
1985-04          2378  
1985-05          2812  
1985-06          3206  
1985-07          3037  
1985-08          2971  
1985-09          2575  
1985-10          2731  
1985-11          2270  
