	         605	         607	         542	         533	
	         320	         502	         633	         595	
	         642	         312	         310	         523	
	         623	         376	         569	         569	
	         526	         655	         505	         301	
	         443	         542	         491	         618	
	         360	         509	         973	         671	
	         333	         516	         487	         404	
	         503	         568	         466	         737	
	         711	         668	         814	         623	
	         479	         583	         736	         463	
	         608	         477	         409	         699	
	         593	         606	         698	         639	
	         615	         647	         486	         488	
	         423	         522	         401	         637	
	         555	         761	         661	         547	
	         461	         664	         639	         337	
	         356	         495	         609	         721	
	         678	         648	         426	         580	
	         778	        1050	         795	         660	
	         422	         389	         865	         585	
	         598	         546	         688	         622	
	         600	         585	         647	         610	
	         422	         404	         618	         329	
	         767	         480	         648	         834	
	         631	         856	         852	         640	
	         792	         637	         706	        1121	
	         994	         926	        1016	        1014	
	         979	         978	         935	         728	
	         521	         801	         776	         884	
	         580	         699	         760	         866	
	         613	         781	         641	         645	
	         547	         765	         849	        1266	
	         834	         593	         843	         841	
	         739	         728	         821	         689	
	        1077	         572	         509	         760	
	         779	         788	         725	         972	
	         764	         720	         563	         665	
	         872	        1033	         775	        1096	
	         905	         750	         930	         799	
	         790	         643	         787	         800	
	         991	        1258	         922	        1201	
	        1291	        1104	         889	        1009	
	        1073	         828	         841	         568	
	         783	        1185	         744	         956	
	         818	        1145	        1075	         894	
	         833	         859	         793	         848	
	         711	        1298	        1233	        1412	
	        1196	        1208	        1055	        1267	
	         957	         720	        1134	        1004	
	         884	        1182	         716	        1241	
	        1460	        1372	        1142	         855	
	         693	         728	         871	         928	
	        1125	        1425	        1117	         986	
	        1517	        1139	        1579	        1138	
	        1621	         840	        1025	         
